対象日,ポスト日,区分,機種,示唆ワード,連想経路,プラス台数,設置台数,平均差枚,記事URL,ポストURL
2026-02-21,2026-02-21,末尾・設置・記念日など,1台設置機種,初日,初日→1日目→1台機種,,,,https://sloslo-blog.hatenablog.com/entry/2026/02/22/083956,https://twitter.com/endo1maruhan/status/2025171211911868576
2026-02-22,2026-02-21,末尾・設置・記念日など,2台設置機種,店長就任2日目,店長就任2日目,,,,https://sloslo-blog.hatenablog.com/entry/2026/02/23/082236,https://twitter.com/endo1maruhan/status/2025171211911868576
2026-02-22,2026-02-21,機種,Sカバネリ,新エリア長トッティ就任,新エリア長トッティ就任→トッティ🔟→10台設置機種,9,10,2540,https://sloslo-blog.hatenablog.com/entry/2026/02/23/082236,https://twitter.com/endo1maruhan/status/2025171211911868576
2026-02-22,2026-02-21,機種,からくり,サンデー,サンデー→週刊少年サンデー→からくり,4,9,1011,https://sloslo-blog.hatenablog.com/entry/2026/02/23/082236,https://twitter.com/endo1maruhan/status/2025171211911868576
2026-02-22,2026-02-21,機種,マイジャグV,ごはん屋,ごはん屋→米→マイ,44,48,2938,https://sloslo-blog.hatenablog.com/entry/2026/02/23/082236,https://twitter.com/endo1maruhan/status/2025171211911868576
2026-02-22,2026-02-21,機種,マイジャグV,サンデー,サンデー→3DAY→3日連続全,44,48,2938,https://sloslo-blog.hatenablog.com/entry/2026/02/23/082236,https://twitter.com/endo1maruhan/status/2025171211911868576
2026-02-22,2026-02-21,機種,ミスタージャグラー,行ったり来たりしていまいましたが,行ったり来たりしていまいましたが→誤字→ミス→ミスター,,,,https://sloslo-blog.hatenablog.com/entry/2026/02/23/082236,https://twitter.com/endo1maruhan/status/2025171211911868576
2026-02-23,2026-02-22,末尾・設置・記念日など,3台設置機種,就任3日目23日,就任3日目23日→3台機8機種全て,,,,https://sloslo-blog.hatenablog.com/entry/2026/02/24/081020,https://twitter.com/endo1maruhan/status/2025533623492132910
2026-02-23,2026-02-22,末尾・設置・記念日など,3台設置機種,玉数上回る,玉数上回る→3玉まで無料→3玉→3台機種,,,,https://sloslo-blog.hatenablog.com/entry/2026/02/24/081020,https://twitter.com/endo1maruhan/status/2025533623492132910
2026-02-23,2026-02-22,機種,Sカバネリ,引き継ぎ期間,引き継ぎ期間→期間→機関車→カバネリ,9,10,2910,https://sloslo-blog.hatenablog.com/entry/2026/02/24/081020,https://twitter.com/endo1maruhan/status/2025533623492132910
2026-02-23,2026-02-22,機種,いざ番長,2月23日,2月23日→富士山の日→番長,7,10,2950,https://sloslo-blog.hatenablog.com/entry/2026/02/24/081020,https://twitter.com/endo1maruhan/status/2025533623492132910
2026-02-23,2026-02-22,機種,いざ番長,玉数,玉数→玉,7,10,2950,https://sloslo-blog.hatenablog.com/entry/2026/02/24/081020,https://twitter.com/endo1maruhan/status/2025533623492132910
2026-02-23,2026-02-22,機種,ウルミラ,つるとんたん,つるとんたん→たん→ベコたん→ミラクル,5,5,2980,https://sloslo-blog.hatenablog.com/entry/2026/02/24/081020,https://twitter.com/endo1maruhan/status/2025533623492132910
2026-02-23,2026-02-22,機種,グランベルム,つるとんたん,つるとんたん→とん→豚→グランベルム,2,2,3750,https://sloslo-blog.hatenablog.com/entry/2026/02/24/081020,https://twitter.com/endo1maruhan/status/2025533623492132910
2026-02-23,2026-02-22,機種,ジャグラーガールズ,感激,感激→ヒデキ感激→サイ城ヒデキ→サイ→ツノっち,5,6,1383,https://sloslo-blog.hatenablog.com/entry/2026/02/24/081020,https://twitter.com/endo1maruhan/status/2025533623492132910
2026-02-23,2026-02-22,機種,ハッピー,2月23日,2月23日→天皇誕生日→祝日→ハッピー,4,5,2560,https://sloslo-blog.hatenablog.com/entry/2026/02/24/081020,https://twitter.com/endo1maruhan/status/2025533623492132910
2026-02-23,2026-02-22,機種,マイジャグV,米＆上回る,米＆上回る→マイジャグ4日目,,,,https://sloslo-blog.hatenablog.com/entry/2026/02/24/081020,https://twitter.com/endo1maruhan/status/2025533623492132910
2026-02-24,2026-02-23,機種,SBJ,増台機種,増台機種,4,6,1350,https://sloslo-blog.hatenablog.com/entry/2026/02/25/073833,https://twitter.com/endo1maruhan/status/2025896022703210821
2026-02-24,2026-02-23,機種,SBJ,たこ焼き,たこ焼き→トランプゲームの「たこやき」→トランプ,4,6,1350,https://sloslo-blog.hatenablog.com/entry/2026/02/25/073833,https://twitter.com/endo1maruhan/status/2025896022703210821
2026-02-24,2026-02-23,機種,Sこのすば,帳消し,帳消し→水の泡→水,1,2,450,https://sloslo-blog.hatenablog.com/entry/2026/02/25/073833,https://twitter.com/endo1maruhan/status/2025896022703210821
2026-02-24,2026-02-23,機種,Sこのすば,タコ,タコ→多幸,1,2,450,https://sloslo-blog.hatenablog.com/entry/2026/02/25/073833,https://twitter.com/endo1maruhan/status/2025896022703210821
2026-02-24,2026-02-23,機種,ToLOVEる,就任4日目,就任4日目→4台機種,2,4,675,https://sloslo-blog.hatenablog.com/entry/2026/02/25/073833,https://twitter.com/endo1maruhan/status/2025896022703210821
2026-02-24,2026-02-23,機種,ToLOVEる,ちゃんと焼きそばも注文,ちゃんと焼きそばも注文→写真なし→トラブル,2,4,675,https://sloslo-blog.hatenablog.com/entry/2026/02/25/073833,https://twitter.com/endo1maruhan/status/2025896022703210821
2026-02-24,2026-02-23,機種,モンキーV,舟型の皿,舟型の皿→舟,21,24,3833,https://sloslo-blog.hatenablog.com/entry/2026/02/25/073833,https://twitter.com/endo1maruhan/status/2025896022703210821
