要確認,見出し,件数,統合先(案),同一候補,根拠
◆,ToLOVEる,36,ToLOVEる,ToLOVEるトランス,複数の機種に接続しうる
◆,SAO,34,SAO,SAOⅡ,複数の機種に接続しうる
◆,モンハンライズ,29,モンハンライズ,モンハン,複数の機種に接続しうる
◆,からくり,28,からくり,からくり2 / からくりサーカス,複数の機種に接続しうる
◆,ウルミラ,24,ウルミラ,ウルミラジャグラー,複数の機種に接続しうる
◆,ミスタージャグラー,23,ミスタージャグラー,ミスター,複数の機種に接続しうる
◆,北斗,21,北斗,北斗転生,複数の機種に接続しうる
◆,Sカバネリ,20,Sカバネリ,カバネリ海門,複数の機種に接続しうる
◆,ミスター,19,ミスター,ミスタージャグラー,複数の機種に接続しうる
◆,ハッピー,17,ハッピー,ハッピーVⅢ / ハッピージャグラー,複数の機種に接続しうる
◆,このすば,17,このすば,このすばシリーズ,複数の機種に接続しうる
◆,北斗転生2,17,北斗転生2,北斗転生,複数の機種に接続しうる
◆,エウレカ,16,エウレカ,エウレカA / エウレカセブン,複数の機種に接続しうる
◆,ゴージャグ3,16,ゴージャグ3,ゴージャグ,複数の機種に接続しうる
◆,戦国乙女4,16,戦国乙女4,戦国乙女,複数の機種に接続しうる
◆,アレックス,15,アレックス,アレックスBT,複数の機種に接続しうる
◆,リゼロ,14,リゼロ,リゼロ2 / リゼロ2nd,複数の機種に接続しうる
◆,かぐや様,13,かぐや様,かぐや,複数の機種に接続しうる
◆,いざ番長,12,いざ番長,いざ番,複数の機種に接続しうる
◆,アイム,12,アイム,アイムEX / アイムジャグラー / アイム・東リベ,複数の機種に接続しうる
◆,炎炎2,12,炎炎2,L炎炎,複数の機種に接続しうる
◆,ハッピーVⅢ,11,ハッピーVⅢ,ハッピー,複数の機種に接続しうる
◆,マイジャグV,10,マイジャグV,マイジャグ,複数の機種に接続しうる
◆,ハッピージャグラー,10,ハッピージャグラー,ハッピー,複数の機種に接続しうる
◆,ヴヴヴ,9,ヴヴヴ,ヴヴヴ2,複数の機種に接続しうる
◆,ネオアイムEX,9,ネオアイムEX,ネオアイム,複数の機種に接続しうる
◆,Sアイム,8,アイム,アイムEX / アイムジャグラー / アイム・東リベ,複数の機種に接続しうる
◆,シェイク,8,シェイク,シェイクBT,複数の機種に接続しうる
◆,サンダーV,8,サンダーV,サンダー,複数の機種に接続しうる
◆,サンダー,8,サンダー,サンダーV,複数の機種に接続しうる
◆,Sこのすば,7,このすば,このすばシリーズ,複数の機種に接続しうる
◆,アレックスBT,7,アレックスBT,アレックス,複数の機種に接続しうる
◆,シェイクBT,6,シェイクBT,シェイク,複数の機種に接続しうる
◆,超電磁砲2,6,超電磁砲2,超電磁砲,複数の機種に接続しうる
◆,スマスロ北斗,6,北斗,北斗転生,複数の機種に接続しうる
◆,ウルミラジャグラー,5,ウルミラジャグラー,ウルミラ,複数の機種に接続しうる
◆,いざ番,5,いざ番,いざ番長,複数の機種に接続しうる
◆,モンハン,5,モンハン,モンハンライズ,複数の機種に接続しうる
◆,Lカバネリ,5,Sカバネリ,カバネリ海門 / カバネリ海門決戦,複数の機種に接続しうる
◆,L炎炎,5,L炎炎,炎炎2,複数の機種に接続しうる
◆,L炎炎2,5,炎炎2,L炎炎,複数の機種に接続しうる
◆,DMC5,5,DMC5,DMC,複数の機種に接続しうる
◆,いせかる,5,いせかる,いせかるBT,複数の機種に接続しうる
◆,カバネリ,4,Sカバネリ,カバネリ海門 / カバネリ海門決戦,複数の機種に接続しうる
◆,からくりサーカス,4,からくりサーカス,からくり,複数の機種に接続しうる
◆,乙女,4,乙女,乙女4,複数の機種に接続しうる
◆,乙女4,4,乙女4,乙女,複数の機種に接続しうる
◆,七つ魔,4,七つ魔,七つ魔剣,複数の機種に接続しうる
◆,リゼロ2,4,リゼロ2,リゼロ / リゼロ2nd,複数の機種に接続しうる
◆,不二子,4,不二子,不二子BT,複数の機種に接続しうる
◆,ファンキージャグラー,4,ファンキージャグラー,ファンキージャグラー2,複数の機種に接続しうる
◆,ひぐらし,4,ひぐらし,ひぐらし祭2,複数の機種に接続しうる
◆,からくり2,3,からくり2,からくり,複数の機種に接続しうる
◆,かぐや,3,かぐや,かぐや様,複数の機種に接続しうる
◆,Lディスク,3,Lディスク,ディスク2,複数の機種に接続しうる
◆,リゼロ2nd,3,リゼロ2nd,リゼロ / リゼロ2,複数の機種に接続しうる
◆,不二子BT,3,不二子BT,不二子,複数の機種に接続しうる
◆,ウルトラミラクルジャグラー,3,ウルトラミラクルジャグラー,ウルトラミラクル,複数の機種に接続しうる
◆,リオエース2,3,リオエース2,リオエース,複数の機種に接続しうる
◆,マイジャグ,2,マイジャグ,マイジャグV / マイジャグラーV,複数の機種に接続しうる
◆,カバネリ海門,2,カバネリ海門,Sカバネリ / カバネリ海門決戦,複数の機種に接続しうる
◆,このすばシリーズ,2,このすばシリーズ,このすば,複数の機種に接続しうる
◆,エウレカA,2,エウレカA,エウレカ,複数の機種に接続しうる
◆,ゴージャグ,2,ゴージャグ,ゴージャグ3,複数の機種に接続しうる
◆,戦国乙女,2,戦国乙女,戦国乙女4 / 戦国乙女5,複数の機種に接続しうる
◆,ネオアイム,2,ネオアイム,ネオアイムEX,複数の機種に接続しうる
◆,戦国乙女5,2,戦国乙女5,戦国乙女,複数の機種に接続しうる
◆,マイジャグⅤ,1,マイジャグV,マイジャグ,複数の機種に接続しうる
◆,マイジャグラーV,1,マイジャグラーV,マイジャグ,複数の機種に接続しうる
◆,カバネリ海門決戦,1,カバネリ海門決戦,Sカバネリ / カバネリ海門,複数の機種に接続しうる
◆,ToLOVEるトランス,1,ToLOVEるトランス,ToLOVEる,複数の機種に接続しうる
◆,銀河英雄伝,1,銀河英雄伝,銀河英雄伝説,複数の機種に接続しうる
◆,銀河英雄伝説,1,銀河英雄伝説,銀河英雄伝,複数の機種に接続しうる
◆,アイムジャグラー,1,アイムジャグラー,アイム,複数の機種に接続しうる
◆,エウレカセブン,1,エウレカセブン,エウレカ,複数の機種に接続しうる
◆,ディスク2,1,ディスク2,Lディスク,複数の機種に接続しうる
◆,Aこのすば,1,このすば,このすばシリーズ,複数の機種に接続しうる
◆,七つ魔剣,1,七つ魔剣,七つ魔,複数の機種に接続しうる
◆,超電磁砲,1,超電磁砲,超電磁砲2,複数の機種に接続しうる
◆,SAOⅡ,1,SAOⅡ,SAO,複数の機種に接続しうる
◆,ヴヴヴ2,1,ヴヴヴ2,ヴヴヴ,複数の機種に接続しうる
◆,Sカバネリ（※1台稼働停止）,1,Sカバネリ,カバネリ海門 / カバネリ海門決戦,複数の機種に接続しうる
◆,アイム・東リベ,1,アイム・東リベ,アイム,複数の機種に接続しうる
◆,アイムEX,1,アイムEX,アイム,複数の機種に接続しうる
◆,DMC,1,DMC,DMC5,複数の機種に接続しうる
◆,Sエウレカ,1,エウレカ,エウレカA / エウレカセブン,複数の機種に接続しうる
◆,北斗転生,1,北斗転生,北斗 / 北斗転生2,複数の機種に接続しうる
◆,ウルトラミラクル,1,ウルトラミラクル,ウルトラミラクルジャグラー,複数の機種に接続しうる
◆,ファンキージャグラー2,1,ファンキージャグラー2,ファンキージャグラー,複数の機種に接続しうる
◆,ひぐらし祭2,1,ひぐらし祭2,ひぐらし,複数の機種に接続しうる
◆,いせかるBT,1,いせかるBT,いせかる,複数の機種に接続しうる
◆,リオエース,1,リオエース,リオエース2,複数の機種に接続しうる
◆,デビルメイクライ,1,デビルメイクライ,デビルメイクライ5,複数の機種に接続しうる
◆,デビルメイクライ5,1,デビルメイクライ5,デビルメイクライ,複数の機種に接続しうる
,回胴式遊技機 グランベルム,1,グランベルム,,型式/表記ゆれ→自動統合
,ファンキー２,1,ファンキー2,,型式/表記ゆれ→自動統合
,Lカバネリ,5,Sカバネリ,,型式/表記ゆれ→自動統合
,カバネリ,4,Sカバネリ,,型式/表記ゆれ→自動統合
,Sカバネリ（※1台稼働停止）,1,Sカバネリ,,型式/表記ゆれ→自動統合
,スマスロ北斗,6,北斗,,型式/表記ゆれ→自動統合
,Sこのすば,7,このすば,,型式/表記ゆれ→自動統合
,Aこのすば,1,このすば,,型式/表記ゆれ→自動統合
,Sアバサー,2,アバサー,,型式/表記ゆれ→自動統合
,L化物語,4,化物語,,型式/表記ゆれ→自動統合
,化物語（池袋店合同）,1,化物語,,型式/表記ゆれ→自動統合
,スマスロ鏡,5,鏡,,型式/表記ゆれ→自動統合
,Lキンハナ,2,キンハナ,,型式/表記ゆれ→自動統合
,Sキンハナ,1,キンハナ,,型式/表記ゆれ→自動統合
,Sアイム,8,アイム,,型式/表記ゆれ→自動統合
,Sエウレカ,1,エウレカ,,型式/表記ゆれ→自動統合
,L炎炎2,5,炎炎2,,型式/表記ゆれ→自動統合
,モンキーⅤ,3,モンキーV,,型式/表記ゆれ→自動統合
,番長ＺＥＲＯ,1,番長ZERO,,型式/表記ゆれ→自動統合
,スマスロハナビ,4,Lハナビ,,型式/表記ゆれ→自動統合
,マイジャグⅤ,1,マイジャグV,,型式/表記ゆれ→自動統合
,L新鬼武者3,2,新鬼武者3,,型式/表記ゆれ→自動統合
,スマスロヨルムンガンド,1,ヨルムンガンド,,型式/表記ゆれ→自動統合
,バンドリ！,1,バンドリ,,型式/表記ゆれ→自動統合
